"","Name","longitude","latitude","Zone"
"197",PARRY SOUND CCG,-80.0441666666667,45.3441666666667,Essa
"198",BARRIE-ORO,-79.55,44.4833333333333,Essa
"199",SPRUCEDALE,-79.4875,45.425,Essa
"200",THORNBURY 3,-80.4675166666667,44.551115,Southwest
"201",UDORA,-79.16139,44.2625,Essa
"202",WIARTON A,-81.1086111111111,44.7441666666667,Southwest
"203",WESTERN ISLAND (AUT),-80.3666666666667,45.0333333333333,Essa
"204",BORDEN AWOS,-79.9116666666667,44.2722222222222,Essa
"205",EGBERT CS,-79.7833333333333,44.2333333333333,Essa
"206",COVE ISLAND (AUT),-81.7333333333333,45.3333333333333,Southwest
"207",GODERICH,-81.7166666666667,43.7666666666667,Southwest
"208",KINCARDINE,-81.623345,44.1727816666667,Bruce
"209",SARNIA,-82.3088888888889,42.9994444444444,West
"210",SARNIA CLIMATE,-82.3,43,West
"211",TOBERMORY RCS,-81.6333333333333,45.2333333333333,Southwest
"212",WROXETER,-81.1522266666667,43.8633383333333,Southwest
"213",AMHERSTBURG,-83.0944633333333,42.1033583333333,West
"214",CHATHAM KENT,-82.0825,42.3058333333333,West
"215",DELHI CS,-80.55,42.8666666666667,Southwest
"216",GRIMSBY MOUNTAIN,-79.558345,43.1836233333333,Niagara
"217",HARROW CDA AUTO,-82.9,42.0333333333333,West
"218",LONG POINT (AUT),-80.05,42.5333333333333,Southwest
"219",PORT WELLER (AUT),-79.2166666666667,43.25,Niagara
"220",RIDGETOWN RCS,-81.8833333333333,42.45,West
"221",ST CATHARINES A,-79.1711111111111,43.1916666666667,Niagara
"222",TILLSONBURG WWTP,-80.7216866666667,42.8552833333333,West
"223",VINELAND STATION RCS,-79.4,43.1833333333333,Niagara
"224",WELLAND-PELHAM,-79.3333333333333,42.9666666666667,Niagara
"225",WINDSOR RIVERSIDE,-82.9333333333333,42.3333333333333,West
"226",WINDSOR A,-82.9552777777778,42.2761111111111,West
"227",PORT COLBORNE (AUT),-79.25,42.8666666666667,Niagara
"228",ERIEAU (AUT),-81.9001436111111,42.2501147222222,West
"229",POINT PELEE CS,-82.5188894444444,41.9486136111111,West
"230",BRANTFORD AIRPORT,-80.3313888888889,43.1375,Southwest
"231",ELORA RCS,-80.4166666666667,43.65,Southwest
"232",FERGUS MOE,-80.3788966666667,43.7016683333333,Southwest
"233",GUELPH TURFGRASS,-80.2166666666667,43.55,Southwest
"234",KITCHENER WATERLOO,-80.3786111111111,43.4608333333333,Southwest
"235",LONDON A,-81.1511111111111,43.0330555555556,West
"236",LONDON CS,-81.15,43.0333333333333,West
"237",MOUNT FOREST (AUT),-80.75,43.9833333333333,Southwest
"238",STRATHROY-MULLIFARRY,-81.6428016666667,42.9805616666667,West
"239",BURLINGTON PIERS (AUT),-79.8,43.3,Southwest
"240",CENTREVILLE,-76.9078033333333,44.4033583333333,East
"241",COBOURG (AUT),-78.1666666666667,43.95,East
"242",HAMILTON A,-79.935,43.1736111111111,Southwest
"243",HAMILTON RBG CS,-79.9083333333333,43.2916666666667,Southwest
"244",OAKVILLE TWN,-79.69,43.5125,Toronto
"245",OSHAWA,-78.8833447222222,43.9227777777778,Toronto
"246",POINT PETRE (AUT),-77.15,43.8333333333333,East
"247",MONO CENTRE,-80.0244472222222,44.03225,Southwest
"248",TORONTO CITY,-79.4,43.6666666666667,Toronto
"249",TORONTO CITY CENTRE,-79.3961111111111,43.6275,Toronto
"250",TORONTO BUTTONVILLE A,-79.3686111111111,43.8608333333333,Toronto
"251",TORONTO INTL A,-79.6305555555556,43.6766666666667,Toronto
"252",TRENTON AWOS,-77.5188888888889,44.1175,East
"253",UXBRIDGE WEST,-79.1636166666667,44.0983333333333,Essa
"254",TORONTO NORTH YORK,-79.4677883333333,43.78002,Toronto
"255",SOUTHERN ONTARIO EMERGENCY PORTABLE WEATHER STATION,-79.7833333333333,43.2666666666667,Southwest
"256",HALIBURTON 3,-78.531115,45.0322483333333,Essa
"257",PETERBOROUGH A,-78.3633333333333,44.23,East
"258",PETERBOROUGH TRENT U,-78.3,44.35,East
"259",SONYA SUNDANCE MEADOWS,-78.95,44.2166666666667,Essa
"260",TAPLEY,-78.501415,44.1705666666667,East
"261",BANCROFT AUTO,-77.8788888888889,45.0713888888889,East
