month,hour,n,actual_mean,mu_pre,sigma_pre,drift_mw,drift_sigma
5,8,47,14842.04255319149,15339.408134642354,1817.9368291922983,497.36558145086383,0.2735879341153132
5,9,47,14803.808510638299,15557.143057503506,1900.513842185121,753.3345468652078,0.39638466721139975
5,10,47,14841.31914893617,15691.702664796634,1946.1907222052796,850.3835158604634,0.43694767740793233
5,11,47,14812.936170212766,15701.537166900422,1947.208469787069,888.6009966876554,0.45634610288277233
5,12,47,14831.08510638298,15687.527349228612,2024.5142778947854,856.4422428456328,0.4230359114761167
5,13,47,14782.617021276596,15611.039270687237,2064.227957434305,828.4222494106416,0.40132304498012616
5,14,47,14898.531914893618,15626.41935483871,2072.5850423766246,727.8874399450924,0.3511978640502138
5,15,47,15216.297872340425,15868.849929873772,2039.075319508108,652.5520575333467,0.3200235181556529
5,16,47,15668.936170212766,16091.615708274892,1885.2515585966457,422.6795380621261,0.22420325613031858
5,17,47,15772.63829787234,15999.168302945302,1735.3799837287706,226.530005072962,0.13053625557338874
5,18,47,15878.191489361701,15950.502103786817,1615.4340488169244,72.310614425116,0.044762343890221476
5,19,47,16011.829787234043,16109.444600280505,1509.3415439038608,97.61481304646259,0.06467377343499416
5,20,47,15877.744680851063,16130.161290322581,1483.8893372623954,252.4166094715183,0.17010473970868867
5,21,47,14984.468085106382,15167.51332398317,1341.2539601308163,183.04523887678806,0.13647321410997745
5,22,47,14091.04255319149,13955.40532959327,1121.4788928492549,-135.63722359821986,-0.12094496335425167
5,23,47,13338.212765957447,13032.99298737728,982.1875399916262,-305.21977858016726,-0.31075509121482997
6,0,30,14172.8,13402.3884057971,1327.5485028584008,-770.4115942028984,-0.5803265135278242
6,1,30,13704.133333333333,12984.273913043477,1254.4385644943388,-719.8594202898566,-0.5738498804682637
6,2,30,13389.366666666667,12727.597101449275,1179.395395028536,-661.7695652173916,-0.5611091649220656
6,3,30,13285.1,12668.286956521739,1141.8110974534916,-616.8130434782615,-0.5402058579163403
6,4,30,13440.366666666667,12880.268115942028,1190.5606339955805,-560.0985507246387,-0.4704494124292689
6,5,30,14072.633333333333,13594.211594202898,1420.3749066134183,-478.4217391304355,-0.33682778884846
6,6,30,15106.866666666667,14893.898550724638,1839.6057068300458,-212.96811594202882,-0.11576834924534408
6,7,30,15857.0,15868.602898550726,2031.832748563187,11.602898550725513,0.005710557898493622
6,8,30,16330.4,16472.03188405797,2115.5007838502615,141.63188405797155,0.06694957767881238
6,9,30,16733.333333333332,16953.41739130435,2258.2952153811184,220.0840579710166,0.09745584034896623
6,10,30,17069.166666666668,17293.83188405797,2367.5515558005927,224.66521739130258,0.0948934847230102
6,11,30,17350.833333333332,17455.876811594204,2419.2058096985465,105.04347826087178,0.043420645667993446
6,12,30,17572.033333333333,17586.121739130434,2495.06020350619,14.088405797101586,0.005646519381497815
6,13,30,17626.766666666666,17628.349275362318,2521.322429529722,1.5826086956512881,0.0006276899285532778
6,14,30,17797.966666666667,17725.45072463768,2537.1977110010994,-72.51594202898559,-0.028581115974747218
