,DATE,Time,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,Demand,HOEP,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,ALLSKY_SFC_SW_DWN
246,2020-09-03,247,18.15848302822272,12.073933702008643,24.216810322908724,4.0182487914944085,0.0,0.0,24.87374497909888,52.38222300009959,1.339343164674972,1.180860136452242,51.89767682296419,94.8505595086055,42218.88888888889,12.47625,17.9841666666667,18.00625,17.1120833333333,3.92125,3.42,3.39541666666667,18.47467457795828
247,2020-09-04,248,15.698556286066689,10.829218824215689,20.549172670829694,0.7968386243386244,0.0,0.0,27.07950967161493,46.15101756052048,0.2056513373904676,2.507095051323775,45.657144544863854,88.75858459279512,38175.444444444445,8.76333333333333,15.0029166666667,15.695,15.055,3.985,3.20291666666667,1.86208333333333,19.406374245500867
248,2020-09-05,249,14.646919518429533,8.884853792563732,20.3801949845961,0.9544939238321584,0.0,0.0,24.90949328449328,41.06551689051689,0.0594771241830065,3.412557605753471,48.511110131144086,93.60198650204308,34614.22222222222,19.36375,14.5625,14.7725,14.475833333333302,2.91458333333333,2.07208333333333,2.06958333333333,14.862912392720007
249,2020-09-06,250,13.877545117373543,7.321165510492714,20.408718089672437,5.686895605263032,0.0,0.0,18.049652777777776,47.601041666666674,0.0104166666666666,4.132871549293117,49.47591706539075,95.79925298872668,33295.666666666664,8.00041666666667,11.5520833333333,11.1275,9.97125,1.32291666666667,0.9620833333333328,0.8775,17.759687011599524
250,2020-09-07,251,16.548536464601042,11.833838380486926,21.234713289449232,5.523637826137826,0.0,0.0,22.485765209449426,59.51560715113347,0.8702448484151382,2.321708383814093,61.92483753120425,93.22280229045934,35791.22222222222,12.315,10.6766666666667,10.705,10.42375,1.815,1.70166666666667,1.57625,10.11828403916936
251,2020-09-08,252,13.392144010960342,10.236468625378006,16.509115230016345,1.773747341839447,0.0,0.0,13.640340909090911,38.38693181818181,0.2074346405228755,4.815290629562544,66.56348512205896,94.1415351673416,38317.333333333336,18.4375,18.2675,17.9295833333333,18.8870833333333,2.94958333333333,2.05291666666667,0.5,8.897854925147318
252,2020-09-09,253,13.93824164133739,11.09011277083366,16.77623653693671,1.7150155904467048,0.0,0.0,11.908333333333331,37.19166666666667,0.128253562294483,4.190011920957095,77.9074931385009,97.38520931334268,35398.4,21.1695833333333,,,,1.24166666666667,0.735833333333333,0.550416666666667,7.97939391025641
253,2020-09-10,254,14.053884642116872,10.75212257801391,17.34193804302481,0.3777769438953646,0.0,0.0,23.97554297554298,35.81899951899951,0.0748866542664496,4.021002012149574,68.27900539063528,97.97246488655657,35261.7,21.2995833333333,20.72125,20.4479166666667,20.2729166666667,0.697083333333333,0.398333333333333,0.31875,9.546564941670647
254,2020-09-11,255,12.84341032608696,7.791298486786014,17.88431612318841,0.0951545121545122,0.0,0.0,11.27736625514403,35.00888888888889,0.0,5.156589673913043,53.53759422670493,94.39695619296346,33231.9,20.0504166666667,18.1470833333333,17.9945833333333,17.5454166666667,3.08875,2.16291666666667,1.53875,18.98838858277592
255,2020-09-12,256,14.09467089188436,7.395815589988693,20.76013436816293,3.2062031709709062,0.0,0.0,15.900139986824763,37.70005528891397,0.064375,3.9697041081156472,62.93502178656755,95.8999757903734,31135.9,11.7695833333333,14.495,14.7333333333333,13.38,3.70125,2.82,1.21875,14.73109718585761
256,2020-09-13,257,17.10340068754774,12.88210090261401,21.25777501079483,6.942646750655911,0.0,0.0,26.46599368792352,46.72863176459668,0.999385026737968,1.8959843391902216,61.33136931419002,96.44560758743648,32449.2,8.92166666666667,9.98916666666667,9.84541666666667,9.65125,3.62291666666667,3.065,3.065,10.9429634671126
257,2020-09-14,258,10.98393906195259,6.11992721784181,15.821346357510723,0.0278395061728395,0.0,0.0,25.12469135802469,36.85246913580248,0.0,7.01606093804741,47.56402704049762,93.1644851880146,36496.11111111111,12.2920833333333,13.5308333333333,13.2545833333333,13.5325,5.14375,4.22833333333333,2.85166666666667,18.492522412893056
258,2020-09-15,259,10.94271100017068,4.60061925845607,17.261586611347045,0.6996221590300538,0.0,0.0,21.395640756302527,40.30565476190476,0.0,7.057288999829323,58.92546095879428,94.68020683020684,36729.11111111111,13.8379166666667,14.559166666666702,15.159583333333298,14.51375,7.04708333333333,6.7775,6.7775,11.788285880625
259,2020-09-16,260,15.042237216963557,9.565106861216757,20.48052370113925,0.2521707045391256,0.0,0.0,22.8095013156778,46.73302351243528,0.237158114966086,3.194920898002534,53.92256693923361,90.19708193041528,36992.55555555556,4.69833333333333,7.86125,8.08291666666667,7.67541666666667,7.13541666666667,6.95666666666667,6.95666666666667,13.563236245155812
260,2020-09-17,261,11.175363060428854,6.302246662531754,16.021589918701377,0.020418839892524,0.0,0.0,20.056079434697853,38.33019005847953,0.0061728395061728,6.83080977907732,44.73512475179141,88.95167486834153,36896.88888888889,14.18875,,,,3.99416666666667,3.41083333333333,3.41083333333333,17.339930967864667
261,2020-09-18,262,8.418828338435047,2.8284613783686448,14.006641818137844,0.065334250659328,0.0,0.0,21.34007936507937,38.93123728123728,0.0,9.58117166156495,36.093969610636265,86.21136147802814,35761.11111111111,10.0345833333333,13.9358333333333,14.1158333333333,13.3516666666667,3.79916666666667,1.3675,1.28958333333333,17.941799747836697
262,2020-09-19,263,7.835291576758291,1.5663839982209449,14.07562303895509,0.3516109025706548,0.0,0.0,11.99702380952381,34.359279609279604,0.0,10.164708423241692,40.48194444444445,88.49215768799101,33849.77777777778,11.1791666666667,12.3454166666667,12.94375,10.715,6.16083333333333,1.08958333333333,1.08958333333333,17.521450376696567
263,2020-09-20,264,10.829578097891185,4.56820287476724,17.055999625000055,0.0468118736759087,0.0,0.0,13.301831501831495,36.00851648351649,0.0,7.170421902108815,40.83803017252629,87.97908151280242,32745.33333333333,8.86833333333333,9.89916666666667,9.50916666666667,8.31416666666667,2.36125,1.16875,1.03375,18.468976573587444
264,2020-09-21,265,12.2499689353856,5.296828933593645,19.1700242591547,0.1132911586534775,0.0,0.0,17.608270676691728,39.02791979949875,0.0108585858585858,5.760889650472982,41.29692926766098,89.07399932196682,36251.88888888889,11.5075,12.7354166666667,12.7466666666667,11.98375,2.16166666666667,0.4887499999999999,0.409583333333333,17.944836910955402
265,2020-09-22,266,13.4350069106975,5.880963312817386,20.958416507770888,0.0794451406293512,0.0,0.0,23.034722222222214,38.91414141414142,0.0,4.564993089302507,46.55232517452632,93.91498565881868,36702.0,12.3545833333333,13.4358333333333,13.24125,13.2554166666667,2.55625,1.64875,0.395416666666667,15.4857137973138
266,2020-09-23,267,16.29253458959342,9.415874784257138,23.13394416396333,0.0977475235446249,0.0,0.0,26.272486772486776,38.78612128612129,0.3381588999236053,2.045624310330192,48.88632260985202,94.22205670146846,37958.444444444445,16.5325,13.38125,13.1525,12.1091666666667,3.7095833333333297,2.705,2.65875,16.258979947266912
267,2020-09-24,268,15.210702783528868,9.652384549633062,20.73288852578068,0.454695366362033,0.0,0.0,16.24065934065934,39.7028083028083,0.3242119311492714,3.1135091476204,58.40117780467244,96.1979235519558,38657.0,14.9570833333333,15.1270833333333,14.862500000000002,14.711666666666698,3.47208333333333,2.79166666666667,0.452083333333333,12.146108328467022
