,Time,DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,ALLSKY_SFC_SW_DWN,HOEP,Demand,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,Weekday
50,260.0,2020-09-16,5.7053571428571,6.77321428571429,4.6410714285714,-0.04,0.0,0.0,-0.5,6.6,0.65,-5.05535714285714,-2.6333333333333,-0.133333333333297,-0.6523076923077,-9.13958333333337,4283.0,7.86125,8.08291666666667,7.67541666666667,7.13541666666667,6.95666666666667,6.95666666666667,Wednesday
51,142.0,2020-05-21,-0.612500000000001,-2.925,1.6875,0.0833333333333337,0.0,0.0,0.4,-5.0,0.0,0.6125,-10.8333333333333,2.4166666666667,1.0892307692308,8.46958333333334,416.0,8.24125,7.38125,6.78625,4.82291666666667,4.82291666666667,2.93208333333333,Thursday
52,213.0,2020-07-31,1.0,1.6857142857142,0.314285714285703,0.02,0.0,0.0,17.5,-5.0,1.0,0.0,3.0,3.8333333333333,1.473076923077,-1.2116666666666,1799.0,17.26375,17.3325,17.5879166666667,1.19166666666667,0.296666666666667,0.285416666666667,Friday
53,228.0,2020-08-15,-2.175,-3.05,-1.325,0.0,0.0,0.0,0.666666666666631,-1.0,-2.175,0.0,18.8333333333333,16.1666666666666,-3.3269230769231,10.7920833333333,-16057.0,21.2920833333333,19.8516666666667,19.42625,12.2879166666667,10.2383333333333,9.54833333333333,Saturday
54,264.0,2020-09-20,3.0,3.925,2.075,0.05,0.0,0.0,2.5,3.0,0.0,-3.0,8.0,4.5,-0.2176923076923,-2.31083333333337,-2281.0,9.89916666666667,9.50916666666667,8.31416666666667,2.36125,1.16875,1.03375,Sunday
55,118.0,2020-04-27,0.328571428571429,-2.1375,2.7857142857143,-1.05,0.0,0.0,12.9,-11.9,0.0,-0.328571428571429,-0.5,-11.8333333333333,15.2676923076923,1.92166666666667,5885.0,6.21916666666667,6.80916666666667,6.41416666666667,5.11791666666667,3.91125,1.78958333333333,Monday
56,175.0,2020-06-23,-2.7660714285714,-0.755357142857097,-4.7875,4.26,0.0,0.0,9.7,14.4,-2.76607142857143,0.0,19.5,2.0,-5.9253846153847,-9.2366666666666,-8571.0,16.7291666666667,16.9633333333333,16.13625,7.39791666666667,6.7225,6.7225,Tuesday
57,197.0,2020-07-15,0.853571428571399,0.407142857142901,1.3071428571429,-0.0033333333333329,0.0,0.0,,,0.85357142857143,0.0,0.1666666666666,-1.3333333333333,1.0146153846154,-0.886666666666599,11640.0,,,,3.26791666666667,2.58,0.287083333333333,Wednesday
58,198.0,2020-07-16,0.433928571428599,3.4803571428571,-2.6071428571429,3.72,0.0,0.0,7.0,-4.4,0.43392857142857,0.0,19.6666666666667,10.1666666666667,-18.3453846153846,-0.0608333333334006,-4965.0,14.2758333333333,14.725,14.9833333333333,3.10791666666667,2.32083333333333,0.585,Thursday
59,311.0,2020-11-06,-0.7642857142857,-3.36428571428571,1.8303571428571,0.0,0.0,0.0,1.3333333333333,2.0,0.0,0.76428571428571,-5.8333333333333,10.8333333333333,2.21846153846154,-0.50833333333333,-1837.0,8.225,8.4575,7.77458333333333,13.4575,5.24166666666667,1.37791666666667,Friday
60,95.0,2020-04-04,1.4875,3.4375,-0.449999999999999,-1.03333333333333,0.0,0.0,-19.0,-5.8,0.0,-1.4875,13.5,3.3333333333333,-0.0307692307692005,2.2,-7507.0,13.1575,13.0445833333333,13.1891666666667,2.87208333333333,1.965,1.59333333333333,Saturday
61,117.0,2020-04-26,2.15,6.1625,-1.8875,1.28333333333333,0.0,0.0,-1.4,10.4,0.0,-2.15,13.3333333333334,0.0,-16.7953846153846,-1.775,1515.0,1.92125,2.58541666666667,2.61083333333333,3.12875,2.25416666666667,1.41916666666667,Sunday
62,76.0,2020-03-16,-0.3625,-0.6625,-0.0375000000000001,0.65,0.466666666666667,0.166666666666667,-9.4,0.0,0.0,0.362499999999997,11.8333333333334,28.0,-3.5646153846153,4.7770833333333,12125.0,21.5741666666667,22.0475,20.8504166666667,7.95291666666667,4.46875,1.44166666666667,Monday
