daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
saturday,12,72,1257.8638916015625,-0.03273865953087807,0.5230443477630615,D
sunday,12,71,1151.152099609375,0.013904061168432236,0.9699443578720093,D
weekday,12,357,1261.035888671875,-0.02395770139992237,0.5309109091758728,D
all,12,500,1244.9755859375,-0.019845791161060333,0.5921208262443542,D
saturday,13,72,1310.0023193359375,-0.008079619146883488,0.4834669530391693,D
sunday,13,71,1196.2996826171875,0.031132927164435387,0.8732542395591736,D
weekday,13,357,1309.5284423828125,-0.01765120029449463,0.4854061007499695,D
all,13,500,1293.518310546875,-0.009345544502139091,0.5402013063430786,D
saturday,14,72,1358.2757568359375,0.0017817699117586017,0.49980443716049194,D
sunday,14,71,1233.8106689453125,0.034824639558792114,0.7608333230018616,D
weekday,14,357,1353.9451904296875,-0.009983851574361324,0.444516122341156,D
all,14,500,1337.509765625,-0.0019267945317551494,0.4973946809768677,D
saturday,15,72,1372.7181396484375,-0.0021972532849758863,0.46583831310272217,D
sunday,15,71,1247.6368408203125,0.02842678502202034,0.6555479168891907,D
weekday,15,357,1368.7625732421875,-0.002799595007672906,0.40733641386032104,D
all,15,500,1352.13232421875,0.0017212879611179233,0.4510067105293274,D
saturday,16,72,1361.833984375,-0.0028342928271740675,0.4324362576007843,D
sunday,16,71,1237.19921875,0.02112957276403904,0.6028674244880676,D
weekday,16,357,1355.9473876953125,-0.004334656987339258,0.38792476058006287,D
all,16,500,1339.9327392578125,-0.0005026836297474802,0.4248562753200531,D
saturday,17,72,1322.126953125,0.0008114113006740808,0.39234787225723267,D
sunday,17,71,1202.0272216796875,0.012591049075126648,0.5672557353973389,D
weekday,17,357,1317.068359375,-0.005069360136985779,0.3676486015319824,D
all,17,500,1301.4610595703125,-0.001714749145321548,0.39954954385757446,D
saturday,18,72,1306.4132080078125,0.01492836233228445,0.334484726190567,D
sunday,18,71,1193.451171875,0.012331115081906319,0.5527892112731934,D
weekday,18,357,1304.625732421875,-0.005665202625095844,0.35144859552383423,D
all,18,500,1289.09619140625,-0.00014425265544559807,0.3775961697101593,D
saturday,19,72,1308.912353515625,0.024845443665981293,0.29427778720855713,D
sunday,19,71,1203.923828125,0.01407663431018591,0.5453891754150391,D
weekday,19,357,1311.712890625,-0.006110011134296656,0.33928969502449036,D
all,19,500,1296.0035400390625,0.0012140779290348291,0.3620741069316864,D
saturday,20,72,1307.8724365234375,0.01978236995637417,0.28333908319473267,D
sunday,20,71,1209.336181640625,0.023914005607366562,0.5251808166503906,D
weekday,20,357,1314.3197021484375,-0.00766323646530509,0.3282303810119629,D
all,20,500,1298.4835205078125,0.0007728977361693978,0.34973299503326416,D
saturday,21,72,1301.8807373046875,0.013737722299993038,0.24638676643371582,D
sunday,21,71,1206.214599609375,0.02435179613530636,0.479802668094635,D
weekday,21,357,1308.7056884765625,-0.007018107455223799,0.32137560844421387,D
all,21,500,1293.169189453125,0.0004252591170370579,0.33307385444641113,D
saturday,22,72,1247.323486328125,0.014111285097897053,0.22488409280776978,D
sunday,22,71,1159.318603515625,0.02795439027249813,0.4774421453475952,D
weekday,22,357,1250.2552490234375,-0.0049540214240550995,0.31753021478652954,D
all,22,500,1236.920166015625,0.0024643780197948217,0.32689666748046875,D
saturday,23,72,1147.7098388671875,0.0038805422373116016,0.227681502699852,D
sunday,23,71,1068.8709716796875,0.03068913146853447,0.45969104766845703,D
weekday,23,357,1148.2275390625,-0.009242878295481205,0.30584055185317993,D
all,23,500,1136.8843994140625,-0.001682762405835092,0.3164324462413788,D
saturday,24,72,1053.083740234375,-0.005810164846479893,0.25876760482788086,D
sunday,24,71,982.9573364257812,0.03163523226976395,0.4366548955440521,D
weekday,24,357,1053.3896484375,-0.01000967063009739,0.30219873785972595,D
all,24,500,1043.34423828125,-0.003491366747766733,0.31503745913505554,D
saturday,1,72,150.65798950195312,-0.02017577737569809,-0.009061021730303764,E
sunday,1,71,151.17608642578125,-0.019466323778033257,0.022564230486750603,E
weekday,1,357,150.5061798095703,-0.022985318675637245,-0.056571297347545624,E
all,1,500,150.62315368652344,-0.022081051021814346,-0.03849257528781891,E
saturday,2,72,258.7014465332031,-0.002792426384985447,-0.07852998375892639,E
sunday,2,71,263.5755615234375,-0.005687817931175232,-0.03232866898179054,E
weekday,2,357,257.5732727050781,-0.017890315502882004,-0.05719703808426857,E
all,2,500,258.5880432128906,-0.013983463868498802,-0.05673767626285553,E
saturday,3,72,342.6702880859375,-0.00359028740786016,-0.08363723754882812,E
sunday,3,71,345.3641052246094,-0.012598332948982716,-0.07319636642932892,E
weekday,3,357,341.95648193359375,-0.016030821949243546,-0.05142028257250786,E
all,3,500,342.54315185546875,-0.013751971535384655,-0.059151723980903625,E
saturday,4,72,415.9837341308594,-0.008338279090821743,-0.04796144366264343,E
sunday,4,71,409.04742431640625,-0.012130839750170708,-0.06824687123298645,E
weekday,4,357,415.2358093261719,-0.016289401799440384,-0.0608941949903965,E
all,4,500,414.46478271484375,-0.014553922228515148,-0.06007595732808113,E
saturday,5,72,497.29736328125,-0.02687418833374977,-0.025514734908938408,E
sunday,5,71,476.239501953125,-0.018033066764473915,-0.07286650687456131,E
weekday,5,357,496.11669921875,-0.018552016466856003,-0.09242765605449677,E
all,5,500,493.4641418457031,-0.01967671699821949,-0.08001450449228287,E
saturday,6,72,638.9475708007812,-0.05645059794187546,-0.04303939640522003,E
sunday,6,71,597.615966796875,-0.024904901161789894,-0.05149617791175842,E
weekday,6,357,637.9087524414062,-0.026445329189300537,-0.08962462097406387,E
all,6,500,632.3367309570312,-0.03054734505712986,-0.07750210911035538,E
saturday,7,72,866.2498779296875,-0.07020053267478943,-0.009608530439436436,E
sunday,7,71,795.7046508789062,-0.0189767275005579,-0.05896086245775223,E
weekday,7,357,863.1712036132812,-0.029489880427718163,-0.08242354542016983,E
all,7,500,854.0342407226562,-0.03385934606194496,-0.06860648095607758,E
saturday,8,72,1036.1314697265625,-0.06995832175016403,-0.005024658516049385,E
sunday,8,71,943.0610961914062,-0.016980577260255814,-0.06206653639674187,E
weekday,8,357,1034.16455078125,-0.035200245678424835,-0.07263490557670593,E
all,8,500,1021.5111083984375,-0.03761821240186691,-0.06139831990003586,E
saturday,9,72,1091.4786376953125,-0.06879057735204697,-0.007504138629883528,E
sunday,9,71,989.0618286132812,-0.02057056874036789,-0.02158210054039955,E
weekday,9,357,1090.802734375,-0.04130541905760765,-0.06689056754112244,E
all,9,500,1076.4527587890625,-0.04231893643736839,-0.05190512165427208,E
saturday,10,72,1148.9110107421875,-0.0630405843257904,-0.04007473960518837,E
sunday,10,71,1038.8587646484375,-0.016958143562078476,-0.0024411678314208984,E
weekday,10,357,1149.932373046875,-0.04428170621395111,-0.06530970335006714,E
all,10,500,1134.0126953125,-0.04310303553938866,-0.052748534828424454,E
saturday,11,72,1212.692626953125,-0.061072561889886856,-0.04991407319903374,E
sunday,11,71,1097.8431396484375,-0.013662436045706272,-0.005782912950962782,E
weekday,11,357,1216.4571533203125,-0.04202251881361008,-0.06320145726203918,E
all,11,500,1199.07177734375,-0.04073859378695488,-0.05313463509082794,E
saturday,12,72,1251.552001953125,-0.056068651378154755,-0.07244047522544861,E
