daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
weekday,21,357,1308.444580078125,-0.03394460678100586,0.23706665635108948,F
all,21,500,1293.05419921875,-0.020678287371993065,0.26296454668045044,F
saturday,22,72,1247.1328125,-0.0023606999311596155,0.1433074176311493,F
sunday,22,71,1160.576904296875,0.034164294600486755,0.4965434968471527,F
weekday,22,357,1250.3409423828125,-0.03031183034181595,0.23511426150798798,F
all,22,500,1237.1324462890625,-0.017131255939602852,0.2590170204639435,F
saturday,23,72,1147.8936767578125,-0.009869877249002457,0.1426907181739807,F
sunday,23,71,1070.048095703125,0.037066902965307236,0.47874343395233154,F
weekday,23,357,1148.7838134765625,-0.03176317363977432,0.22545309364795685,F
all,23,500,1137.4752197265625,-0.018836667761206627,0.2495025247335434,F
saturday,24,72,1053.4154052734375,-0.017163829877972603,0.16894400119781494,F
sunday,24,71,984.0509643554688,0.03807693347334862,0.45552048087120056,F
weekday,24,357,1054.30517578125,-0.02919544279575348,0.22093293070793152,F
all,24,500,1044.2010498046875,-0.01791021227836609,0.24675796926021576,F
