level,daytype,horizon,n_days,cov_emp,se,cell
0.6827,sunday,14,71,0.5352112676056338,0.05919175887556613,C
0.6827,weekday,14,357,0.7450980392156863,0.023065304389710283,C
0.6827,all,14,500,0.686,0.020755914819636352,C
0.6827,saturday,15,72,0.5555555555555556,0.05856069741052554,C
0.6827,sunday,15,71,0.5633802816901409,0.05886041495942303,C
0.6827,weekday,15,357,0.7703081232492998,0.022262347060763774,C
0.6827,all,15,500,0.71,0.020292855885754475,C
0.6827,saturday,16,72,0.625,0.057054433073454806,C
0.6827,sunday,16,71,0.5915492957746479,0.05833592935857883,C
0.6827,weekday,16,357,0.803921568627451,0.021012979857066256,C
0.6827,all,16,500,0.748,0.019416281827373642,C
0.6827,saturday,17,72,0.6111111111111112,0.057452192805513225,C
0.6827,sunday,17,71,0.7464788732394366,0.051628162017765496,C
0.6827,weekday,17,357,0.8431372549019608,0.019247526982793202,C
0.6827,all,17,500,0.796,0.018021320706318945,C
0.6827,saturday,18,72,0.5138888888888888,0.058902827083330896,C
0.6827,sunday,18,71,0.7605633802816901,0.05064467838459024,C
0.6827,weekday,18,357,0.8291316526610645,0.01992087676632044,C
0.6827,all,18,500,0.774,0.01870422412183943,C
0.6827,saturday,19,72,0.5,0.05892556509887896,C
0.6827,sunday,19,71,0.704225352112676,0.05416355065056952,C
0.6827,weekday,19,357,0.834733893557423,0.019657659749970854,C
0.6827,all,19,500,0.768,0.018877287940803362,C
0.6827,saturday,20,72,0.4583333333333333,0.058720605990582514,C
0.6827,sunday,20,71,0.6901408450704225,0.054880979931595526,C
0.6827,weekday,20,357,0.8711484593837535,0.017731961765665105,C
0.6827,all,20,500,0.786,0.01834142851579451,C
0.6827,saturday,21,72,0.4305555555555556,0.05835445678683116,C
0.6827,sunday,21,71,0.676056338028169,0.0555388667156425,C
0.6827,weekday,21,357,0.8879551820728291,0.016693880586237504,C
0.6827,all,21,500,0.792,0.018151363585141474,C
0.6827,saturday,22,72,0.5694444444444444,0.05835445678683116,C
0.6827,sunday,22,71,0.704225352112676,0.05416355065056952,C
0.6827,weekday,22,357,0.907563025210084,0.0153294703892032,C
0.6827,all,22,500,0.83,0.016798809481626965,C
0.6827,saturday,23,72,0.7777777777777778,0.04899539464934427,C
0.6827,sunday,23,71,0.7887323943661971,0.04844535246297056,C
