daytype,horizon,n_days,crps_mw,cell
sunday,19,71,626.507253631715,E
weekday,19,357,575.5517248730522,E
all,19,500,625.2672628114204,E
saturday,20,72,927.1611683219429,E
sunday,20,71,651.6643684538726,E
weekday,20,357,547.7957828510056,E
all,20,500,617.1737375144277,E
saturday,21,72,918.9577750276175,E
sunday,21,71,657.6584157162075,E
weekday,21,357,522.8240291397849,E
all,21,500,599.0137714414848,E
saturday,22,72,753.5024868823829,E
sunday,22,71,599.3010984859376,E
weekday,22,357,475.46922133027596,E
all,22,500,533.0901381258833,E
saturday,23,72,539.2774372758978,E
sunday,23,71,518.7124948486656,E
weekday,23,357,426.708140104876,E
all,23,500,455.9827372711212,E
saturday,24,72,427.40626563127057,E
sunday,24,71,500.7562951593632,E
weekday,24,357,424.95523492635505,E
all,24,500,436.07193390095006,E
saturday,1,72,134.62569096636065,F
sunday,1,71,134.87417803144245,F
weekday,1,357,117.35631136014787,F
all,1,500,122.33063909076634,F
saturday,2,72,158.55156815163056,F
sunday,2,71,167.37050980930732,F
weekday,2,357,152.51790237968225,F
all,2,500,155.49582050584957,F
saturday,3,72,174.85980909457223,F
sunday,3,71,182.59382817269113,F
weekday,3,357,173.7542637183642,F
all,3,500,175.1686804050526,F
saturday,4,72,206.3614437660034,F
sunday,4,71,207.95135120060024,F
weekday,4,357,206.4703291994208,F
all,4,500,206.6649548211762,F
saturday,5,72,284.3225820788241,F
sunday,5,71,254.39359236488332,F
weekday,5,357,249.782079113013,F
all,5,500,255.41074642185535,F
saturday,6,72,567.7384835350254,F
sunday,6,71,486.444862071692,F
weekday,6,357,327.3779549926519,F
all,6,500,384.5773719079774,F
saturday,7,72,1080.5145035078006,F
sunday,7,71,965.6013283461762,F
weekday,7,357,410.5588141893653,F
all,7,500,585.8484704614871,F
saturday,8,72,1337.6594165004983,F
sunday,8,71,1266.1190180325038,F
weekday,8,357,472.07632967060874,F
all,8,500,709.474355921502,F
saturday,9,72,1173.0671871040042,F
sunday,9,71,1210.1552643091393,F
weekday,9,357,540.4500635351895,F
all,9,500,726.6450678389997,F
saturday,10,72,1083.7900922431713,F
sunday,10,71,1147.8595708993087,F
weekday,10,357,643.7604919236852,F
all,10,500,778.7068235842297,F
saturday,11,72,1036.3573548365198,F
sunday,11,71,1106.0833492686252,F
weekday,11,357,717.5496982425586,F
all,11,500,818.6297792377904,F
saturday,12,72,982.1209176313698,F
sunday,12,71,1027.840602110326,F
weekday,12,357,735.4104399756134,F
all,12,500,812.4618317811714,F
saturday,13,72,977.3886973966239,F
sunday,13,71,988.5193597761585,F
weekday,13,357,724.9710105077482,F
all,13,500,798.7430230158604,F
saturday,14,72,957.5634896589885,F
sunday,14,71,936.8809650544205,F
weekday,14,357,697.5027241490188,F
all,14,500,768.9431845910213,F
saturday,15,72,920.7422059461805,F
sunday,15,71,871.7712448666363,F
weekday,15,357,663.4660897610261,F
all,15,500,730.093182516685,F
saturday,16,72,849.5586098917712,F
sunday,16,71,778.6584689312261,F
weekday,16,357,623.1313672243394,F
all,16,500,677.8217386108277,F
saturday,17,72,804.4835515018125,F
sunday,17,71,669.9998339359928,F
weekday,17,357,574.446581323327,F
all,17,500,621.1404669000275,F
saturday,18,72,829.2907640701882,F
sunday,18,71,623.1488083594413,F
weekday,18,357,570.446965908851,F
all,18,500,615.2041344720673,F
saturday,19,72,882.7063110740061,F
sunday,19,71,641.3618325251643,F
weekday,19,357,574.1872484802063,F
all,19,500,628.1527844280976,F
saturday,20,72,937.8420288835672,F
sunday,20,71,664.5634525558858,F
weekday,20,357,545.4054894804576,F
all,20,500,618.8367819112162,F
saturday,21,72,923.9430500790901,F
sunday,21,71,665.0808194229566,F
weekday,21,357,522.8315393368991,F
all,21,500,600.7909946559948,F
saturday,22,72,756.5322724332655,F
sunday,22,71,602.6235729442212,F
weekday,22,357,476.79653759843285,F
all,22,500,534.9459224337508,F
saturday,23,72,538.761286426163,F
sunday,23,71,517.6780892710416,F
weekday,23,357,427.1901514839604,F
all,23,500,456.1056820814031,F
saturday,24,72,424.00354786151354,F
sunday,24,71,497.7240917885809,F
weekday,24,357,424.6771103597689,F
all,24,500,434.95278872291146,F
