Name,longitude,latitude,West,Ottawa,Northwest,Essa,Toronto,Northeast,Bruce,Southwest,Niagara,East
PETAWAWA HOFFMAN,-77.25,45.8833333333333,False,False,False,True,False,False,False,False,False,False
BALDWIN,-79.3188966666667,44.266955,False,False,False,True,False,False,False,False,False,False
BARRIE LANDFILL,-79.7361111111111,44.3852777777778,False,False,False,True,False,False,False,False,False,False
BEATRICE CLIMATE,-79.4027777777778,45.1402777777778,False,False,False,True,False,False,False,False,False,False
COLDWATER WARMINSTER,-79.538905,44.6311216666667,False,False,False,True,False,False,False,False,False,False
COLLINGWOOD,-80.2166666666667,44.5,False,False,False,False,False,False,False,True,False,False
LAGOON CITY,-79.2166666666667,44.5472222222222,False,False,False,True,False,False,False,False,False,False
MARKDALE,-80.7119466666667,44.2689,False,False,False,False,False,False,False,True,False,False
MUSKOKA,-79.3033333333333,44.9747222222222,False,False,False,True,False,False,False,False,False,False
ORILLIA BRAIN,-79.4388888888889,44.6027777777778,False,False,False,True,False,False,False,False,False,False
PARRY SOUND CCG,-80.0441666666667,45.3441666666667,False,False,False,True,False,False,False,False,False,False
BARRIE-ORO,-79.55,44.4833333333333,False,False,False,True,False,False,False,False,False,False
SPRUCEDALE,-79.4875,45.425,False,False,False,True,False,False,False,False,False,False
THORNBURY 3,-80.4675166666667,44.551115,False,False,False,False,False,False,False,True,False,False
UDORA,-79.16139,44.2625,False,False,False,True,False,False,False,False,False,False
WIARTON A,-81.1086111111111,44.7441666666667,False,False,False,False,False,False,False,True,False,False
WESTERN ISLAND (AUT),-80.3666666666667,45.0333333333333,False,False,False,True,False,False,False,False,False,False
BORDEN AWOS,-79.9116666666667,44.2722222222222,False,False,False,True,False,False,False,False,False,False
EGBERT CS,-79.7833333333333,44.2333333333333,False,False,False,True,False,False,False,False,False,False
COVE ISLAND (AUT),-81.7333333333333,45.3333333333333,False,False,False,False,False,False,False,True,False,False
GODERICH,-81.7166666666667,43.7666666666667,False,False,False,False,False,False,False,True,False,False
KINCARDINE,-81.623345,44.1727816666667,False,False,False,False,False,False,True,False,False,False
SARNIA,-82.3088888888889,42.9994444444444,True,False,False,False,False,False,False,False,False,False
SARNIA CLIMATE,-82.3,43.0,True,False,False,False,False,False,False,False,False,False
TOBERMORY RCS,-81.6333333333333,45.23333333333331,False,False,False,False,False,False,False,True,False,False
WROXETER,-81.1522266666667,43.8633383333333,False,False,False,False,False,False,False,True,False,False
AMHERSTBURG,-83.0944633333333,42.1033583333333,True,False,False,False,False,False,False,False,False,False
CHATHAM KENT,-82.0825,42.3058333333333,True,False,False,False,False,False,False,False,False,False
DELHI CS,-80.55,42.8666666666667,False,False,False,False,False,False,False,True,False,False
GRIMSBY MOUNTAIN,-79.558345,43.1836233333333,False,False,False,False,False,False,False,False,True,False
HARROW CDA AUTO,-82.9,42.0333333333333,True,False,False,False,False,False,False,False,False,False
LONG POINT (AUT),-80.05,42.5333333333333,False,False,False,False,False,False,False,True,False,False
PORT WELLER (AUT),-79.2166666666667,43.25,False,False,False,False,False,False,False,False,True,False
RIDGETOWN RCS,-81.8833333333333,42.45,True,False,False,False,False,False,False,False,False,False
ST CATHARINES A,-79.1711111111111,43.1916666666667,False,False,False,False,False,False,False,False,True,False
TILLSONBURG WWTP,-80.7216866666667,42.8552833333333,True,False,False,False,False,False,False,False,False,False
VINELAND STATION RCS,-79.4,43.1833333333333,False,False,False,False,False,False,False,False,True,False
WELLAND-PELHAM,-79.3333333333333,42.9666666666667,False,False,False,False,False,False,False,False,True,False
WINDSOR RIVERSIDE,-82.9333333333333,42.3333333333333,True,False,False,False,False,False,False,False,False,False
WINDSOR A,-82.9552777777778,42.2761111111111,True,False,False,False,False,False,False,False,False,False
PORT COLBORNE (AUT),-79.25,42.8666666666667,False,False,False,False,False,False,False,False,True,False
ERIEAU (AUT),-81.9001436111111,42.2501147222222,True,False,False,False,False,False,False,False,False,False
POINT PELEE CS,-82.5188894444444,41.9486136111111,True,False,False,False,False,False,False,False,False,False
BRANTFORD AIRPORT,-80.3313888888889,43.1375,False,False,False,False,False,False,False,True,False,False
ELORA RCS,-80.4166666666667,43.65,False,False,False,False,False,False,False,True,False,False
FERGUS MOE,-80.3788966666667,43.7016683333333,False,False,False,False,False,False,False,True,False,False
GUELPH TURFGRASS,-80.2166666666667,43.55,False,False,False,False,False,False,False,True,False,False
KITCHENER WATERLOO,-80.3786111111111,43.4608333333333,False,False,False,False,False,False,False,True,False,False
LONDON A,-81.1511111111111,43.0330555555556,True,False,False,False,False,False,False,False,False,False
LONDON CS,-81.15,43.0333333333333,True,False,False,False,False,False,False,False,False,False
MOUNT FOREST (AUT),-80.75,43.9833333333333,False,False,False,False,False,False,False,True,False,False
STRATHROY-MULLIFARRY,-81.6428016666667,42.9805616666667,True,False,False,False,False,False,False,False,False,False
BURLINGTON PIERS (AUT),-79.8,43.3,False,False,False,False,False,False,False,True,False,False
CENTREVILLE,-76.9078033333333,44.4033583333333,False,False,False,False,False,False,False,False,False,True
COBOURG (AUT),-78.1666666666667,43.95,False,False,False,False,False,False,False,False,False,True
HAMILTON A,-79.935,43.1736111111111,False,False,False,False,False,False,False,True,False,False
HAMILTON RBG CS,-79.9083333333333,43.2916666666667,False,False,False,False,False,False,False,True,False,False
OAKVILLE TWN,-79.69,43.5125,False,False,False,False,True,False,False,False,False,False
OSHAWA,-78.8833447222222,43.9227777777778,False,False,False,False,True,False,False,False,False,False
POINT PETRE (AUT),-77.15,43.8333333333333,False,False,False,False,False,False,False,False,False,True
MONO CENTRE,-80.0244472222222,44.03225,False,False,False,False,False,False,False,True,False,False
TORONTO CITY,-79.4,43.6666666666667,False,False,False,False,True,False,False,False,False,False
TORONTO CITY CENTRE,-79.3961111111111,43.6275,False,False,False,False,True,False,False,False,False,False
TORONTO BUTTONVILLE A,-79.3686111111111,43.8608333333333,False,False,False,False,True,False,False,False,False,False
TORONTO INTL A,-79.6305555555556,43.6766666666667,False,False,False,False,True,False,False,False,False,False
TRENTON AWOS,-77.5188888888889,44.1175,False,False,False,False,False,False,False,False,False,True
UXBRIDGE WEST,-79.1636166666667,44.0983333333333,False,False,False,True,False,False,False,False,False,False
TORONTO NORTH YORK,-79.4677883333333,43.78002,False,False,False,False,True,False,False,False,False,False
SOUTHERN ONTARIO EMERGENCY PORTABLE WEATHER STATION,-79.7833333333333,43.2666666666667,False,False,False,False,False,False,False,True,False,False
HALIBURTON 3,-78.531115,45.0322483333333,False,False,False,True,False,False,False,False,False,False
PETERBOROUGH A,-78.3633333333333,44.23,False,False,False,False,False,False,False,False,False,True
PETERBOROUGH TRENT U,-78.3,44.35,False,False,False,False,False,False,False,False,False,True
SONYA SUNDANCE MEADOWS,-78.95,44.2166666666667,False,False,False,True,False,False,False,False,False,False
TAPLEY,-78.501415,44.1705666666667,False,False,False,False,False,False,False,False,False,True
BANCROFT AUTO,-77.8788888888889,45.0713888888889,False,False,False,False,False,False,False,False,False,True
